prompt_id,word_count,descriptor_words,sentence_count,num_visual_attributes,spatial_constraints,ambiguity,prompt
33,35,1,1,3,bottom,fully ambiguous,"A single photorealistic glass of red wine on a small wooden table, viewed from a low angle near the base of the glass, with deep crimson liquid, clear reflective glass, and a dark blurred background."
34,31,1,1,3,side,clear,"Photorealistic close-up side view of a single clear glass of deep red wine on a reflective white surface, with soft natural lighting highlighting the rich crimson color and subtle glass reflections."
35,31,1,1,3,side,partially ambiguous,"Photorealistic close-up side view of a single elegant glass of red wine on a reflective wooden table, with deep ruby liquid, clear transparent glass, and soft natural light illuminating subtle reflections."
36,26,1,1,3,side,fully ambiguous,"Photorealistic close-up side view of a single clear glass of deep red wine on a reflective surface, with soft natural lighting and a neutral blurred background."
37,25,1,2,1,none,clear,A photorealistic glass of red wine on a plain background. High-resolution studio lighting emphasizes the rich red color of the wine in the clear glass.
38,20,1,2,1,none,partially ambiguous,"A single glass of red wine on a plain surface, photorealistic. The scene is evenly lit with a neutral background."
39,25,1,2,1,none,fully ambiguous,A photorealistic glass of red wine on a plain background. The focus is on the wine’s rich color and the clear contours of the glass.
40,43,1,2,1,top,clear,"Photorealistic close-up top-down view of a single elegant glass of red wine on a plain neutral surface, with soft natural lighting highlighting the deep crimson liquid. The focus is on the circular rim and rich color of the wine seen directly from above."
41,33,1,2,1,top,partially ambiguous,"Photorealistic close-up top-down view of a single glass of red wine on a plain neutral surface. The scene is minimal, with soft natural lighting emphasizing the deep red liquid seen from directly above."
42,33,1,2,1,top,fully ambiguous,"Photorealistic close-up top-down view of a single glass of red wine on a plain neutral surface. The scene is minimal, with soft natural lighting emphasizing the deep red liquid seen from directly above."
43,27,1,2,1,bottom,clear,"A single glass of red wine on a plain table, photorealistic. Close-up shot from a low angle near the base of the glass, with soft natural lighting."
44,21,1,2,1,bottom,partially ambiguous,"A single glass of red wine on a plain table, photorealistic. Close-up view from the side with a softly blurred background."
45,21,1,2,1,bottom,fully ambiguous,"A single glass of red wine on a plain table, photorealistic. Close-up view from the side with a softly blurred background."
46,18,1,2,1,side,clear,"A single glass of red wine seen from the side on a plain surface, photorealistic. Soft natural lighting."
47,31,1,2,1,side,partially ambiguous,"A single glass of red wine seen from the side on a plain surface, photorealistic. Soft natural light highlights the rich red color of the wine against a simple, unobtrusive background."
48,31,1,2,1,side,fully ambiguous,"A single glass of red wine seen from the side on a plain surface, photorealistic. Soft natural light highlights the rich red color of the wine against a simple, unobtrusive background."
49,29,1,2,2,none,clear,A photorealistic glass of red wine with a deep crimson hue on a plain neutral background. The transparent glass clearly shows the rich color and subtle reflections of light.
50,29,1,2,2,none,partially ambiguous,A photorealistic glass of red wine with a deep crimson hue on a plain neutral background. The transparent glass clearly shows the rich color and subtle reflections of light.
51,28,1,2,2,none,fully ambiguous,"A photorealistic glass of red wine with deep crimson liquid and a clear, reflective glass surface. The image focuses solely on the wine glass against a neutral background."
52,32,1,2,2,top,clear,"A single glass of red wine on a plain white table, viewed directly from above in a photorealistic style. The deep red liquid contrasts with the clear glass and the bright background."
53,31,1,2,2,top,partially ambiguous,"A single glass of red wine on a plain white table, viewed directly from above in a photorealistic style. The deep red liquid contrasts with the clear glass and bright background."
54,35,1,2,2,top,fully ambiguous,"A single glass of red wine on a plain white table, viewed directly from above in a photorealistic style. The deep red liquid fills the clear glass, centered in the frame with soft natural lighting."
55,46,1,2,2,bottom,clear,"A single glass of red wine on a small wooden table, viewed from a low angle near the base of the glass with the stem rising upward. The deep red liquid and clear glass are sharply focused in a photorealistic style, with a softly blurred background."
56,46,1,2,2,bottom,partially ambiguous,"A single glass of red wine on a small wooden table, viewed from a low angle near the base of the glass with the stem rising upward. The deep red liquid and clear glass are sharply focused in a photorealistic style, with a softly blurred background."
57,46,1,2,2,bottom,fully ambiguous,"A single glass of red wine on a small wooden table, viewed from a low angle near the base of the glass with the stem rising upward. The deep red liquid and clear glass are sharply focused in a photorealistic style, with a softly blurred background."
58,30,1,2,2,side,clear,"A single glass of red wine on a wooden table, viewed from the side in sharp focus, photorealistic. Soft natural light highlights the deep crimson liquid and the clear glass."
59,34,1,2,2,side,partially ambiguous,"A single glass of red wine on a wooden table, viewed from the side in soft natural light, photorealistic. The deep red liquid contrasts with the clear glass and a slightly blurred warm-toned background."
60,32,1,2,2,side,fully ambiguous,"A single glass of red wine seen from the side on a simple wooden table, photorealistic. Soft natural light highlights the deep red color of the wine and the clear smooth glass."
61,32,1,2,3,none,clear,"A single clear glass of red wine on a plain white background, photorealistic. The wine is deep ruby red, the glass is transparent and clean, and the lighting is bright and even."
62,23,1,2,3,none,partially ambiguous,"A single elegant glass of red wine on a plain surface, photorealistic. Deep ruby liquid in a clear, medium-sized glass with subtle reflections."
63,22,1,2,3,none,fully ambiguous,"A single elegant glass of red wine on a plain surface, photorealistic. Deep ruby liquid, transparent glass, and subtle reflections clearly visible."
64,30,1,2,3,top,clear,"A single glass of red wine filled halfway, viewed directly from above on a white marble table, photorealistic. Deep ruby liquid, clear glass, and subtle reflections of soft overhead light."
65,43,1,2,3,top,partially ambiguous,"A single glass of red wine on a reflective surface, viewed from directly above in a photorealistic style, with deep crimson liquid, clear glass, and subtle highlights. The background is softly blurred and neutral to emphasize the wine’s color and the circular rim."
66,38,1,2,3,top,fully ambiguous,"A single glass of red wine on a white table, viewed from directly above in a photorealistic style, with deep crimson liquid, clear glass, and subtle reflections. The composition is centered and sharply focused, with soft natural lighting."
67,49,1,2,3,bottom,clear,"A single elegant glass of red wine on a small wooden table, viewed from a low angle near the base of the glass, with deep crimson liquid, clear reflective glass, and a dark, softly blurred background. Photorealistic, high-resolution image with natural lighting and sharp focus on the wine glass."
68,50,1,2,3,bottom,partially ambiguous,"A single elegant glass of red wine on a small wooden table, viewed from a low angle near the base of the glass, with deep crimson liquid, clear reflective glass, and a dark background. Photorealistic style, sharp focus on the wine’s color and reflections with subtle lighting and natural shadows."
69,50,1,2,3,bottom,fully ambiguous,"A single elegant glass of red wine on a small wooden table, viewed from a low angle near the base of the glass, with deep crimson liquid, clear reflective glass, and a dark background. Photorealistic style, sharp focus on the wine’s color and reflections with subtle lighting and natural shadows."
70,37,1,2,3,side,clear,"A single glass of red wine seen from the side on a wooden table, photorealistic, with deep ruby liquid and clear reflections. Soft natural light from the left casts subtle shadows and highlights the smooth glass contours."
71,42,1,2,3,side,partially ambiguous,"A single glass of red wine seen from the side on a wooden table, photorealistic, with deep ruby liquid, clear transparent glass, and a dark blurred background. Soft natural lighting from the left casts subtle reflections and highlights on the glass surface."
72,42,1,2,3,side,fully ambiguous,"A single glass of red wine seen from the side on a wooden table, photorealistic, with deep ruby liquid, clear transparent glass, and a dark blurred background. Soft natural lighting from the left casts subtle reflections and highlights on the glass surface."
73,11,2,1,1,none,clear,A photorealistic glass of deep red wine on a plain background.
74,11,2,1,1,none,partially ambiguous,A photorealistic glass of deep red wine on a plain background.
75,9,2,1,1,none,fully ambiguous,A photorealistic glass of red wine on a table.
76,16,2,1,1,top,clear,A single photorealistic glass of red wine viewed from directly above on a plain neutral surface.
77,16,2,1,1,top,partially ambiguous,A single photorealistic glass of red wine viewed from directly above on a plain neutral surface.
78,17,2,1,1,top,fully ambiguous,Photorealistic close-up top-down view of a single elegant glass of red wine on a plain neutral surface.
79,28,2,1,1,bottom,clear,"A single elegant glass of red wine on a dark wooden table, viewed from a low angle near the base of the glass with soft, realistic lighting, photorealistic."
80,27,2,1,1,bottom,partially ambiguous,"A single clear glass of red wine on a dark wooden table, viewed from a low angle near the base of the glass in a photorealistic style."
81,27,2,1,1,bottom,fully ambiguous,"A single elegant glass of red wine on a dark wooden table, viewed from a low angle near the base of the glass with soft photorealistic lighting."
82,15,2,1,1,side,clear,Photorealistic side view of a single elegant glass of red wine on a plain surface.
83,17,2,1,1,side,partially ambiguous,Photorealistic close-up side view of a single elegant glass of red wine on a plain neutral background.
84,17,2,1,1,side,fully ambiguous,Photorealistic close-up side view of a single elegant glass of red wine on a plain neutral background.
85,19,2,1,2,none,clear,"A photorealistic glass of red wine on a simple surface, with rich crimson liquid and a clear reflective glass."
86,18,2,1,2,none,partially ambiguous,"A photorealistic glass of red wine on a simple surface, with rich crimson liquid and clear reflective glass."
87,18,2,1,2,none,fully ambiguous,"A photorealistic glass of red wine on a simple surface, with rich crimson liquid and clear reflective glass."
88,25,2,1,2,top,clear,"Photorealistic close-up top-down view of a single elegant glass of deep red wine on a plain white surface, with soft natural lighting and subtle reflections."
89,26,2,1,2,top,partially ambiguous,"A photorealistic close-up top-down view of a single elegant glass of deep red wine on a plain white surface, with soft natural lighting and subtle reflections."
90,26,2,1,2,top,fully ambiguous,"A clear, photorealistic top-down view of a single elegant glass of deep red wine on a plain white surface, with soft natural lighting and subtle reflections."
91,32,2,1,2,bottom,clear,"A photorealistic close-up of a single elegant glass of deep red wine on a reflective wooden table, viewed from a low angle near the base of the glass with soft warm lighting."
92,32,2,1,2,bottom,partially ambiguous,"A photorealistic close-up of a single elegant glass of deep red wine on a reflective wooden table, viewed from a low angle near the base of the glass with soft natural lighting."
93,27,2,1,2,bottom,fully ambiguous,"A photorealistic close-up of a single elegant glass of deep red wine on a simple reflective surface, shot from a slightly low angle with soft natural lighting."
94,27,2,1,2,side,clear,"Photorealistic side-view close-up of a single elegant glass of deep red wine on a simple neutral table, softly lit to emphasize the rich color and clear glass."
95,27,2,1,2,side,partially ambiguous,"Photorealistic close-up side view of a single elegant glass of deep red wine on a reflective surface, softly lit from the left with a dark blurred background."
96,20,2,1,2,side,fully ambiguous,"A photorealistic side view of a single elegant glass of deep red wine on a simple neutral surface, softly lit."
97,18,2,1,3,none,clear,"A clear, photorealistic glass of red wine on a table, with deep ruby liquid and transparent reflective glass."
98,20,2,1,3,none,partially ambiguous,"A clear, photorealistic glass of red wine on a simple table, with deep ruby liquid, transparent glass, and subtle reflections."
99,20,2,1,3,none,fully ambiguous,"A photorealistic glass of red wine on a simple surface, with deep ruby liquid, clear reflective glass, and subtle highlights."
100,26,2,1,3,top,clear,"A single clear glass of deep red wine viewed from directly above on a white table, with sharp focus, subtle reflections, and soft natural lighting, photorealistic."
101,21,2,1,3,top,partially ambiguous,"A single clear glass of deep red wine with a thin stem, viewed from directly above on a white table, photorealistic."
102,29,2,1,3,top,fully ambiguous,"A single elegant glass of red wine filled halfway, viewed directly from above on a white table, with deep ruby liquid, clear reflective glass, and subtle natural lighting, photorealistic."
103,35,2,1,3,bottom,clear,"A single elegant glass of deep red wine on a small wooden table, viewed from a slightly low angle with soft natural lighting, showing clear reflections on the smooth glass surface in a photorealistic style."
104,29,2,1,3,bottom,partially ambiguous,"A single elegant glass of red wine with a deep ruby color, shown from a low upward angle near the base of the glass on a reflective surface, photorealistic."
105,32,2,1,3,bottom,fully ambiguous,"A single elegant glass of red wine with deep ruby liquid, shown from a low upward angle on a reflective surface, photorealistic lighting emphasizing the rich color, transparent glass, and subtle reflections."
106,33,2,1,3,side,clear,"A single elegant glass of deep red wine viewed from the side on a wooden table, with soft natural light reflecting off the clear glass and rich crimson liquid in a photorealistic style."
107,33,2,1,3,side,partially ambiguous,"A single elegant glass of deep red wine viewed from the side on a wooden table, with soft natural light reflecting off the clear glass and rich crimson liquid in a photorealistic style."
108,31,2,1,3,side,fully ambiguous,"A photorealistic side-view close-up of a single elegant glass of deep red wine on a reflective wooden table, with soft warm lighting highlighting the rich crimson liquid and subtle glass reflections."
109,25,2,2,1,none,clear,"A photorealistic close-up of a glass of red wine on a plain surface. The scene is softly lit, showing clear reflections on the smooth glass."
110,25,2,2,1,none,partially ambiguous,"A photorealistic close-up of a glass of red wine on a plain surface. The scene is softly lit, showing clear reflections on the smooth glass."
111,18,2,2,1,none,fully ambiguous,A photorealistic glass of red wine on a plain surface. The scene is sharply focused with natural lighting.
112,39,2,2,1,top,clear,"Photorealistic close-up top-down view of a single elegant glass of red wine on a plain neutral surface, with soft natural lighting. The deep red liquid fills the glass, showing subtle reflections and a clear circular rim from directly above."
113,30,2,2,1,top,partially ambiguous,"A single glass of red wine on a plain white surface, viewed directly from above in a photorealistic style. Soft, natural lighting highlights the deep red color of the wine."
114,34,2,2,1,top,fully ambiguous,"A single glass of red wine on a plain white surface, viewed directly from above in a photorealistic style. Soft natural lighting highlights the deep red liquid and the circular rim of the glass."
115,41,2,2,1,bottom,clear,"A single elegant glass of red wine on a dark wooden table, viewed from a low angle near the base of the glass with the stem rising upward. Photorealistic lighting emphasizes the deep red liquid and subtle reflections on the glass."
116,36,2,2,1,bottom,partially ambiguous,"A single glass of red wine on a reflective bar counter, viewed from a low angle near the base of the glass, photorealistic. Soft, moody lighting with a dark, blurred background emphasizing the rich red liquid."
117,36,2,2,1,bottom,fully ambiguous,"A single glass of red wine on a reflective bar counter, viewed from a low angle near the base of the glass, photorealistic. Soft, moody lighting with a dark, blurred background emphasizing the rich red liquid."
118,33,2,2,1,side,clear,"A single glass of red wine on a wooden table, viewed from the side in a photorealistic style. Soft natural light highlights the deep red liquid and subtle reflections on the clear glass."
119,30,2,2,1,side,partially ambiguous,"A single glass of red wine on a wooden table, viewed from the side in a photorealistic style. Soft natural light highlights the rich red liquid inside the clear glass."
120,33,2,2,1,side,fully ambiguous,"A single glass of red wine on a wooden table, viewed from the side in a photorealistic style. Soft natural light highlights the deep red liquid and subtle reflections on the clear glass."
121,35,2,2,2,none,clear,"A photorealistic close-up of a glass of red wine on a simple table, with rich crimson liquid and clear reflective glass. The background is softly blurred to emphasize the wine glass as the main subject."
122,35,2,2,2,none,partially ambiguous,"A photorealistic close-up of a glass of red wine on a simple table, with rich color and clear reflections. The scene is softly lit and sharply focused, showing the full glass centered in the frame."
123,41,2,2,2,none,fully ambiguous,"A clear, photorealistic close-up of a single glass of red wine on a simple surface, with rich crimson liquid visible through the transparent glass. Natural lighting highlights the smooth glass and deep color of the wine, with a softly blurred background."
124,33,2,2,2,top,clear,"A single glass of red wine filled halfway, crystal-clear and reflective, viewed directly from above on a plain white table. Photorealistic lighting with subtle shadows and a rich deep-red color to the wine."
125,36,2,2,2,top,partially ambiguous,"A single glass of red wine filled halfway, crystal-clear and reflective, viewed directly from above on a plain white table. Photorealistic lighting with subtle shadows and a rich, deep red hue visible through the circular rim."
126,36,2,2,2,top,fully ambiguous,"A single glass of red wine filled halfway, crystal-clear and reflective, viewed directly from above on a plain white table. Photorealistic lighting with subtle shadows and a rich, deep red hue visible through the circular rim."
127,51,2,2,2,bottom,clear,"A single elegant glass of red wine on a small wooden table, viewed from a low angle near the base of the glass with the stem rising upward, photorealistic. Soft warm lighting reflects off the deep crimson liquid and the clear glass, with a blurred background suggesting an intimate indoor setting."
128,53,2,2,2,bottom,partially ambiguous,"A single glass of red wine on a wooden table, viewed from a low angle near the base of the glass with the stem rising upward, in sharp photorealistic detail. Soft warm lighting reflects subtly off the deep red liquid and the clear glass, with a blurred background suggesting an intimate indoor setting."
129,54,2,2,2,bottom,fully ambiguous,"A single elegant glass of red wine filled halfway, crystal-clear and reflective, on a dark wooden table, viewed from a low angle near the base of the glass with the stem rising upward. Soft, warm side lighting creates realistic reflections and shadows, emphasizing the deep red color of the wine in a photorealistic style."
130,42,2,2,2,side,clear,"A photorealistic close-up side view of a single elegant glass of deep red wine on a simple wooden table, softly lit with natural light. The background is slightly blurred to emphasize the glass’s smooth contours and the rich color of the wine."
131,39,2,2,2,side,partially ambiguous,"A clear, photorealistic side view of a single elegant glass of red wine on a simple wooden table, with soft natural lighting. The deep red liquid and transparent glass are sharply in focus against a gently blurred neutral background."
132,42,2,2,2,side,fully ambiguous,"A photorealistic close-up side view of a single elegant glass of deep red wine on a simple wooden table, softly lit with natural light. The background is slightly blurred to emphasize the glass’s smooth contours and the rich color of the wine."
133,33,2,2,3,none,clear,"A photorealistic glass of red wine on a simple surface, with deep crimson liquid and clear reflections. The transparent glass, rich red color, and glossy highlights are sharply focused against a neutral background."
134,33,2,2,3,none,partially ambiguous,"A photorealistic glass of red wine on a simple surface, with deep crimson liquid and clear reflections. The transparent glass, rich red color, and glossy highlights are sharply focused against a neutral background."
135,33,2,2,3,none,fully ambiguous,"A photorealistic glass of red wine on a simple surface, with deep crimson liquid and clear reflections. The scene is softly lit and minimal, emphasizing the transparent glass, rich color, and subtle highlights."
136,58,2,2,3,top,clear,"A single elegant glass of red wine filled halfway, deep ruby in color, sits on a white marble surface, viewed directly from above in sharp focus, photorealistic. Soft natural light from the side creates subtle reflections on the glass rim and a faint shadow on the marble, emphasizing the rich red hue and transparent clarity of the wine."
137,42,2,2,3,top,partially ambiguous,"A single elegant glass of red wine filled halfway, viewed directly from above on a white marble table, photorealistic, high resolution, soft natural lighting. Deep ruby liquid, clear glass, and subtle reflections and shadows emphasizing the circular rim and rich color contrast."
138,43,2,2,3,top,fully ambiguous,"A single elegant glass of red wine filled halfway, viewed directly from above on a white marble table, photorealistic, high resolution, soft natural lighting. The deep ruby liquid, clear glass rim, and subtle reflections are sharply focused with a shallow depth of field."
139,48,2,2,3,bottom,clear,"A single elegant glass of red wine filled halfway, deep ruby liquid catching soft light, on a simple wooden table with a blurred restaurant background, photorealistic. Shot from a low angle near the base of the glass, emphasizing the stem and bowl with sharp focus and natural reflections."
140,61,2,2,3,bottom,partially ambiguous,"A single elegant glass of red wine, filled halfway, sits on a reflective wooden table near the bottom of the frame, sharply in focus with a deep ruby color and clear glass catching soft natural light. The blurred background shows a warm, neutral-toned interior, enhancing the photorealistic detail of the wine’s rich hue and the subtle reflections on the table surface."
141,48,2,2,3,bottom,fully ambiguous,"A single elegant glass of red wine filled halfway, crystal-clear and reflective, on a small wooden table near the bottom of the frame, photorealistic. Soft warm lighting from the side casts subtle shadows and highlights the deep ruby color of the wine against a dark, slightly blurred background."
142,43,2,2,3,side,clear,"A single glass of red wine seen from the side on a wooden table, photorealistic, with deep ruby liquid, clear transparent glass, and a dark blurred background. Soft natural light from the left creates subtle reflections and highlights on the smooth glass surface."
143,42,2,2,3,side,partially ambiguous,"A single glass of red wine seen from the side on a wooden table, photorealistic, with deep ruby liquid and clear reflections. Soft natural light from the left casts subtle shadows, emphasizing the smooth glass surface and rich color of the wine."
144,42,2,2,3,side,fully ambiguous,"A single elegant glass of red wine seen from the side on a wooden table, photorealistic, with deep ruby liquid and clear reflections. Soft natural lighting from the left casts subtle shadows and highlights the smooth glass contours and rich wine color."
145,15,3,1,1,none,clear,A photorealistic close-up of a single elegant glass of red wine on a plain background.
146,15,3,1,1,none,partially ambiguous,A photorealistic close-up of a single elegant glass of red wine on a plain background.
147,13,3,1,1,none,fully ambiguous,"A photorealistic glass of red wine on a table, elegant, clear, and reflective."
148,16,3,1,1,top,clear,A single photorealistic glass of red wine viewed from directly above on a plain neutral surface.
149,16,3,1,1,top,partially ambiguous,A single photorealistic glass of red wine viewed directly from above on a plain neutral surface.
150,17,3,1,1,top,fully ambiguous,"A single elegant glass of red wine viewed from directly above on a plain neutral table, photorealistic."
151,29,3,1,1,bottom,clear,"A single photorealistic glass of red wine on a plain surface, viewed from a low angle near the base of the glass, with soft lighting highlighting its smooth contours."
152,30,3,1,1,bottom,partially ambiguous,"A single elegant glass of red wine filled halfway, viewed from a low angle near the base of the glass on a reflective table, in a softly lit photorealistic setting."
153,24,3,1,1,bottom,fully ambiguous,"A single elegant glass of red wine on a dark wooden table, viewed from a low angle near the base of the glass, photorealistic."
154,23,3,1,1,side,clear,"A single glass of red wine viewed from the side on a simple table, softly lit and sharply focused in a photorealistic style."
155,20,3,1,1,side,partially ambiguous,"A single photorealistic glass of red wine viewed from the side on a simple neutral background, sharply focused and elegant."
156,20,3,1,1,side,fully ambiguous,"A single photorealistic glass of red wine viewed from the side on a simple neutral background, sharply focused and elegant."
157,18,3,1,2,none,clear,"A photorealistic glass of red wine on a simple surface, with rich crimson liquid and clear reflective glass."
158,18,3,1,2,none,partially ambiguous,"A photorealistic glass of red wine on a simple surface, with rich crimson liquid and clear reflective glass."
159,18,3,1,2,none,fully ambiguous,"A photorealistic glass of red wine on a simple surface, with rich crimson liquid and clear reflective glass."
160,25,3,1,2,top,clear,"A single photorealistic glass of red wine viewed from directly above on a plain white surface, with deep ruby liquid and a clear reflective rim."
161,25,3,1,2,top,partially ambiguous,"A single elegant glass of red wine filled halfway, viewed directly from above on a white table, with deep ruby liquid and subtle reflections, photorealistic."
162,21,3,1,2,top,fully ambiguous,"A single elegant glass of red wine filled halfway, viewed directly from above on a white table, photorealistic lighting and reflections."
163,33,3,1,2,bottom,clear,"A single elegant glass of red wine filled halfway, viewed from a low angle near the base of the glass on a reflective table, with soft natural lighting and subtle background blur, photorealistic."
164,33,3,1,2,bottom,partially ambiguous,"A single elegant glass of red wine filled halfway, viewed from a low angle near the base of the glass on a reflective wooden table, with soft natural lighting and sharp photorealistic detail."
165,33,3,1,2,bottom,fully ambiguous,"A single elegant glass of red wine filled halfway, viewed from a low angle near the base of the glass on a reflective table, with soft natural lighting and subtle background blur, photorealistic."
166,22,3,1,2,side,clear,"A single photorealistic glass of red wine viewed from the side on a simple table, with clear reflections and deep crimson liquid."
167,22,3,1,2,side,partially ambiguous,"A single photorealistic glass of deep red wine seen from the side on a simple wooden table, softly lit and slightly reflective."
168,25,3,1,2,side,fully ambiguous,"A single photorealistic glass of red wine viewed from the side on a simple table, with rich crimson liquid and a clear reflective glass surface."
169,25,3,1,3,none,clear,"A clear, photorealistic glass of deep red wine on a simple surface, with rich color, medium size, and transparent glass, sharply focused and naturally lit."
170,24,3,1,3,none,partially ambiguous,"A clear, photorealistic close-up of a single glass of red wine on a table, showing deep ruby liquid, transparent glass, and a medium-sized pour."
171,25,3,1,3,none,fully ambiguous,"A clear, photorealistic close-up of a single glass of red wine on a table, showing deep ruby liquid, transparent glass, and a small reflective highlight."
172,27,3,1,3,top,clear,"A single elegant glass of deep red wine seen from directly above on a white marble table, with soft natural lighting, subtle reflections, and crisp photorealistic detail."
173,23,3,1,3,top,partially ambiguous,"A single elegant glass of red wine filled halfway, viewed from directly above on a white marble surface with soft natural lighting, photorealistic."
174,25,3,1,3,top,fully ambiguous,"A single elegant glass of deep red wine viewed from directly above on a white marble table, with soft natural lighting and subtle reflections, photorealistic."
175,24,3,1,3,bottom,clear,"A single elegant glass of red wine with a deep ruby color, shown from a low upward angle on a reflective dark surface, photorealistic."
176,37,3,1,3,bottom,partially ambiguous,"A single elegant glass of red wine with a deep ruby color, medium size bowl, and slender clear stem, photographed from a low angle near the base looking slightly upward against a softly blurred neutral background, photorealistic."
177,30,3,1,3,bottom,fully ambiguous,"A single elegant glass of red wine with a deep ruby color, shown from a low upward angle near the bottom of the frame on a reflective dark surface, photorealistic."
178,27,3,1,3,side,clear,"A single elegant glass of deep red wine seen from the side on a reflective wooden table, with soft warm lighting and a dark blurred background, photorealistic."
179,30,3,1,3,side,partially ambiguous,"A single elegant glass of deep red wine on a reflective wooden table, viewed from the side at eye level, with soft natural lighting and a blurred warm-toned background, photorealistic."
180,30,3,1,3,side,fully ambiguous,"A single elegant glass of deep red wine on a reflective wooden table, viewed from the side at eye level, with soft natural lighting and a blurred warm-toned background, photorealistic."
181,19,3,2,1,none,clear,"A single glass of red wine on a plain surface, photorealistic. The wine glass is clear and sharply focused."
182,31,3,2,1,none,partially ambiguous,"A single glass of red wine on a plain surface, photorealistic and softly lit. The scene is simple and elegant, with the deep crimson liquid clearly visible in the transparent glass."
183,31,3,2,1,none,fully ambiguous,"A single glass of red wine on a plain surface, photorealistic and softly lit. The scene is simple and elegant, with the deep crimson liquid clearly visible in the transparent glass."
184,29,3,2,1,top,clear,"A single glass of red wine on a plain white surface, viewed directly from above in a photorealistic style. Soft, subtle lighting creates gentle reflections on the smooth glass."
