prompt_id,word_count,descriptor_words,sentence_count,num_visual_attributes,spatial_constraints,ambiguity,prompt
65,31,2,1,2,top,partially ambiguous,"A photorealistic close-up from above of a perfectly full glass of red wine, the liquid filled precisely to the brim with subtle reflections on the smooth surface and no visible background."
66,33,2,1,2,top,fully ambiguous,"A photorealistic close-up from above of a perfectly full glass of red wine, filled exactly to the brim so the liquid’s surface tension creates a slight dome, on a plain, softly lit surface."
67,29,2,1,2,bottom,clear,"A single full-to-the-brim glass of deep red wine on a plain table, photographed from a low angle close to the base of the glass in a highly photorealistic style."
68,25,2,1,2,bottom,partially ambiguous,"A photorealistic full-to-the-brim glass of deep red wine on a plain white surface, viewed straight from the side at tabletop level with soft, even lighting."
69,22,2,1,2,bottom,fully ambiguous,"A full-to-the-brim glass of deep red wine on a small table, viewed from a slightly low angle with soft natural lighting, photorealistic."
70,17,2,1,2,side,clear,Photorealistic close-up side view of a full-to-the-brim glass of deep red wine on a simple wooden table.
71,24,2,1,2,side,partially ambiguous,"A photorealistic side-view close-up of a single, clear glass of deep red wine filled completely to the brim on a simple, neutral tabletop background."
72,22,2,1,2,side,fully ambiguous,"A photorealistic side-view close-up of a full-to-the-brim glass of red wine on a simple reflective surface, sharply focused with soft natural lighting."
73,38,2,1,3,none,clear,"A photorealistic close-up of a single transparent glass of deep red wine, completely full to the brim so the surface tension makes a slight dome, sitting on a plain neutral surface with soft natural lighting and sharp focus."
74,30,2,1,3,none,partially ambiguous,"A photorealistic, detailed close-up of a clear, elegant wine glass completely filled to the brim with deep red wine, with tiny reflections on the glass and a soft, neutral background."
75,34,2,1,3,none,fully ambiguous,"A photorealistic close-up of a completely full, perfectly still glass of red wine filled exactly to the brim on a plain neutral surface, with clear reflections on the transparent glass and deep crimson liquid."
76,42,2,1,3,top,clear,"A photorealistic close-up from above of a perfectly still, crystal-clear glass of deep red wine filled exactly to the brim on a softly lit, indistinct surface, with no visible empty space or foam and the surroundings blurred into an abstract, ambiguous background."
77,27,2,1,3,top,partially ambiguous,"A photorealistic close-up from above of a glass of wine, filled absolutely to the brim with liquid, on an indistinct surface in softly lit, slightly blurred surroundings."
78,33,2,1,3,top,fully ambiguous,"A photorealistic close-up overhead view of a perfectly still, crystal-clear wine-colored liquid filling a thin-rimmed glass exactly to the brim, so that it’s uncertain whether this is truly wine, juice, or another drink."
79,37,2,1,3,bottom,clear,"A full-to-the-brim glass of deep red wine with a clear thin stem and small round base, shot photorealistically from a low angle looking slightly upward so the surface tension of the wine is visible at the rim."
80,24,2,1,3,bottom,partially ambiguous,"A full-to-the-brim glass of deep red wine on a small wooden table, shot from a low bottom-up angle with soft natural lighting, ultra photorealistic."
81,45,2,1,3,bottom,fully ambiguous,"A photorealistic close-up of a single, crystal-clear glass of red wine filled precisely to the brim, viewed from a low angle near the base of the glass with soft reflections on the liquid surface and subtle highlights on the glass against a simple neutral background."
82,35,2,1,3,side,clear,"A photorealistic close-up side view of a single crystal-clear glass of deep red wine, completely full to the brim with no empty space above the liquid, against a simple neutral background under soft natural lighting."
83,35,2,1,3,side,partially ambiguous,"A photorealistic close-up side view of a single elegant glass of red wine, completely full to the brim with a deep crimson liquid, the clear glass catching subtle reflections against a softly blurred neutral background."
84,38,2,1,3,side,fully ambiguous,"A photorealistic close-up side view of a single tall crystal wine glass, completely full to the brim with deep red wine so the surface tension makes a slight dome above the rim, against a softly lit neutral background."
85,37,2,1,4,none,clear,"Photorealistic close-up of a single sparkling glass of red wine completely filled to the brim, showing deep ruby color, clear glossy reflections, and precise sharp focus on the liquid’s perfectly level surface against a simple neutral background."
86,37,2,1,4,none,partially ambiguous,"A photorealistic close-up of a single, perfectly full glass of red wine filled exactly to the brim, with a thin transparent rim, deep ruby liquid, smooth reflective surface, and clear colorless stem, against a simple neutral background."
87,36,2,1,4,none,fully ambiguous,"A photorealistic close-up of a perfectly full glass of red wine filled exactly to the brim, the clear transparent glass showing rich deep crimson liquid with glossy reflections and tiny clinging droplets on the inside surface."
88,45,2,1,4,top,clear,"A photorealistic, softly lit still life of a crystal-clear glass of deep red wine filled exactly to the brim, viewed directly from above so the circular surface almost overflows, with subtle reflections, rich color gradients, and a faint highlight glinting on the perfectly level liquid."
89,35,2,1,4,top,partially ambiguous,"A photorealistic close-up from above of a completely full glass of red wine, filled perfectly to the brim, on a small white table in soft natural light, with subtle reflections and a faint blurred background."
90,50,2,1,4,top,fully ambiguous,"A photorealistic, softly lit dinner scene where reflections and shadows suggest an elegant celebration, and among the scattered cutlery and half-folded napkins there appears to be a clear, tall vessel with a dark crimson shimmer precisely aligned with its rim, though the exact nature of the container is left undefined."
91,33,2,1,4,bottom,clear,"A full-to-the-brim glass of deep red wine with a clear, reflective surface and thin elegant stem, captured from a low angle looking slightly up at the glass on a simple neutral background, photorealistic."
92,39,2,1,4,bottom,partially ambiguous,"A photorealistic close-up from a low, upward angle of a completely full-to-the-brim glass of red wine on a small wooden table, with the deep crimson liquid, clear transparent glass, subtle reflections, and soft warm lighting captured in sharp detail."
93,39,2,1,4,bottom,fully ambiguous,"A photorealistic close-up shot from a low angle of a crystal-clear, full-to-the-brim glass of deep red wine on a reflective black surface, with subtle highlights and soft shadows emphasizing the smooth, glossy texture and rich color of the liquid."
94,41,2,1,4,side,clear,"A photorealistic side-view close-up of a single tall, clear wine glass filled completely to the brim with deep red wine, with smooth reflections on the transparent glass and a sharp contrast between the dark liquid and a softly lit neutral background."
95,37,2,1,4,side,partially ambiguous,"A photorealistic side-view close-up of a perfectly full glass of red wine, filled exactly to the brim, with a clear thin stem, deep ruby liquid, transparent glass, and a subtle warm reflection on a dark neutral background."
96,31,2,1,4,side,fully ambiguous,"A photorealistic side-view close-up of a single large, crystal-clear wine glass filled with deep red wine all the way to the brim, against a plain neutral background with soft natural lighting."
97,19,3,1,1,none,clear,A photorealistic close-up of a completely full glass of red wine filled to the brim on a plain background.
98,20,3,1,1,none,partially ambiguous,A photorealistic image of a completely full glass of red wine filled precisely to the brim on a plain background.
99,21,3,1,1,none,fully ambiguous,A photorealistic close-up of a perfectly full glass of deep red wine filled exactly to the brim on a plain background.
100,20,3,1,1,top,clear,"A photorealistic close-up from above of a perfectly full glass of wine filled exactly to the brim, in soft lighting."
101,27,3,1,1,top,partially ambiguous,"A photorealistic close-up from a slightly elevated angle of an elegant, perfectly still, crystal glass of wine filled precisely to the brim, captured in soft natural light."
102,16,3,1,1,top,fully ambiguous,"A perfectly full-to-the-brim glass of red wine, viewed directly from above on a neutral surface, photorealistic."
103,18,3,1,1,bottom,clear,A photorealistic close-up shot from slightly below of a full-to-the-brim glass of red wine on a plain surface.
104,30,3,1,1,bottom,partially ambiguous,"A photorealistic close-up shot from a low, upward angle of a single, elegant glass of deep red wine filled absolutely to the brim, with subtle reflections on the smooth glass."
105,29,3,1,1,bottom,fully ambiguous,"A photorealistic close-up shot from a low, bottom-up angle of a single clear glass of red wine filled completely to the brim, with sharp focus and soft background lighting."
106,21,3,1,1,side,clear,"Ultra photorealistic side view of a single glass of red wine filled completely to the brim, against a simple neutral background."
107,13,3,1,1,side,partially ambiguous,"A photorealistic close-up side view of a full-to-the-brim glass of wine, sharply focused."
108,15,3,1,1,side,fully ambiguous,A photorealistic side-view close-up of a full-to-the-brim glass of red wine on a plain background.
109,21,3,1,2,none,clear,"A photorealistic close-up of a full, reflective glass of deep red wine filled exactly to the brim on a plain surface."
110,15,3,1,2,none,partially ambiguous,A photorealistic close-up of a full-to-the-brim glass of deep red wine on a plain surface.
111,27,3,1,2,none,fully ambiguous,"A photorealistic close-up of a single crystal-clear wine glass completely filled to the very brim with deep red wine, with perfect sharp focus and soft natural lighting."
112,50,3,1,2,top,clear,"A photorealistic, slightly grainy overhead shot of a perfectly still restaurant table where a single, unremarkable glass is present, its contents a deep red and filled exactly to the brim so the liquid’s surface tension domes microscopically above the edge, with no other context or subject clearly emphasized or identified."
